NDB_ナンバー,食品名,水_(g),Energ_Kcal,タンパク質_(g),Lipid_Tot_(g),Ash_(g),炭水化物_(g),ファイバー_TD_(g),Sugar_Tot_(g)
12160,コットンシード KRNLS、RSTD (グランドレス),4.65,506,32.59,36.29,4.58,21.9,5.5,
12163,"PUMPKIN&SQUASH SEEDS,WHL,RSTD,WO/SALT",4.5,446,18.55,19.4,3.8,53.75,18.4,
12166,セサミバター、タヒニ、RSTD&TSTD KRNLS (最も一般的なタイプ),3.05,595,17,53.76,5,21.19,9.3,0.49
12167,栗、ヨーロッパ、RSTD,40.48,245,3.17,2.2,1.2,52.96,5.1,10.6
12169,ごまバター、ペースト,1.6,586,18.08,50.87,5.4,24.05,5.5,
12170,高脂肪ごま粉,0.9,526,30.78,37.1,4.6,26.62,,
12171,ごまバター、タヒニ、ローストしていない KRNLS 産,3,607,17.95,56.44,4.73,17.89,9.3,
12174,スイカSD KRNLS、乾燥,5.05,557,28.33,47.37,3.94,15.31,,
12175,栗、和、干し,9.96,360,5.25,1.24,2.11,81.43,,
12176,ココナッツミルク、FRZ（すりおろした肉と水から抽出した液体）,71.42,202,1.61,20.8,0.59,5.58,,
12177,ココナッツ肉、乾燥（乾燥）、CRMD,1.67,684,5.3,69.08,2.44,21.52,,
12179,ココナッツ肉、乾燥（乾燥）、SWTND、細断,12.55,501,2.88,35.49,1.42,47.67,4.5,43.17
12193,シシンブリウム SP.種子、WHL、乾燥,6.1,318,12.14,4.6,18.9,58.26,,
12195,アーモンドバター、PLN、WO / SALT,1.64,614,20.96,55.5,3.09,18.82,10.3,4.43
12198,ごまバター、タヒニ、生＆石臼挽き KRNLS産,3,570,17.81,48,5,26.19,9.3,
12200,調合、小麦ベース、すべてのフレーバー XCPT マカダミア、無塩,2,647,13.11,62.3,1.8,20.79,5.2,
12201,ごまSDクルンルズ、乾燥（デコート）,3.75,631,20.45,61.21,2.86,11.73,11.6,0.48
12202,栗、日本、生,61.41,154,2.25,0.53,0.91,34.91,,
12203,栗、和食、BLD&STMD,86.03,56,0.82,0.19,0.33,12.64,,
12204,栗、日本、RSTD,49.9,201,2.97,0.8,1.2,45.13,,
12205,蓮の実、生,77,89,4.13,0.53,1.07,17.28,,
12206,アーモンド、ハニー RSTD、ブランチングなし,1.7,594,18.17,49.9,2.33,27.9,13.7,
12220,種子、亜麻仁,6.96,534,18.29,42.16,3.72,28.88,27.3,1.55
12516,"パンプキン&スカッシュ SD KRNLS,RSTD,W/SALT",2.03,574,29.84,49.05,4.37,14.71,6.5,1.29
12529,"SESAME SD KRNLS,TSTD,W/SALT (デコート)",5,567,16.96,48,4,26.04,16.9,0.48
12536,種、ヒマワリ SD KRNLS シェルから、ドライ RSTD、塩を追加,1.2,546,19.33,49.8,14.36,15.31,9,2.73
12537,サンフラワー SD KRNLS、ドライ RSTD、塩入り,1.2,582,19.33,49.8,5.6,24.07,9,2.73
12538,サンフラワー SD KRNLS、オイル RSTD、塩入り,1.54,592,20.06,51.3,4.22,22.89,10.6,3.11
12539,ひまわりSD KRNLS、TSTD、W / SALT,1,619,17.21,56.8,4.4,20.59,11.5,
12540,サンフラワー SD バター、塩,0.62,617,17.28,55.2,3.58,23.32,5.7,10.54
12563,アーモンド、ドライ RSTD、塩味,2.41,598,20.96,52.54,3.07,21.01,10.9,4.86
12565,アーモンド、オイルRSTD、W / SALT,2.8,607,21.23,55.17,3.13,17.68,10.5,4.55
12567,ナッツ、アーモンド、オイルRSTD、塩加減、スモークフレーバー,2.8,607,21.43,55.89,2.03,17.86,10.7,3.57
12585,カシューナッツ、ドライRSTD、塩味,1.7,574,15.31,46.35,3.95,32.69,3,5.01
12586,カシューナッツ、オイルRSTD、塩入り,2.34,581,16.84,47.77,2.89,30.16,3.3,5.01
12588,カシューバター、PLN、W / SALT,2.34,609,12.12,53.03,2.5,30.3,3,9.09
12632,マカダミアナッツ、ドライRSTD、塩味,1.61,716,7.79,76.08,1.7,12.83,8,4.14
12635,ミックスナッツ、ドライRSTD、ピーナッツ入り、塩入り,1.75,594,17.3,51.45,4.15,25.35,9,4.8
12637,ナッツ、MXD ナッツ、オイル RSTD、PNUTS 入り、塩加減,2.08,607,20.04,53.95,2.88,21.05,7,4.15
12638,"NUTS,MXD NUTS,OIL RSTD,WO/ PNUTS,W/SALT ADDED",3.15,615,15.52,56.17,2.89,22.27,5.5,4.38
12643,ピーカンナッツ、ドライ RSTD、塩味,1.12,710,9.5,74.27,1.56,13.55,9.4,4.06
12644,ピーカンナッツ、オイル RSTD、塩加減,1.13,715,9.2,75.23,1.42,13.01,9.5,3.97
12652,ピスタチオナッツ、ドライRSTD、塩味,1.79,569,21.05,45.82,3.79,27.55,10.3,7.74
12663,パンプキン＆スカッシュシード、WHL、RSTD、W / SALT,4.5,446,18.55,19.4,3.8,53.75,18.4,
12665,ナッツ、アーモンド、オイルRSTD、薄塩味,2.8,607,21.23,55.17,3.13,17.68,10.5,4.55
12695,アーモンドバター、PLN、W / SALT,1.64,614,20.96,55.5,3.09,18.82,10.3,6.27
12698,セサミバター、タヒニ、KRNLS UNSPEC,3,592,17.4,53.01,5.09,21.5,4.7,
12737,ナッツ、MXD ナッツ、オイル RSTD、ピーナッツ入り、うす塩味,2.08,607,20.04,53.95,2.88,21.05,7,4.15
12738,ナッツ、MXD ナッツ、オイル RSTD、WO/ PNUTS、うす塩味,3.15,607,17.86,50,3.18,25,7.1,5.21
13000,ビーフ、グラスフェッド、ストリップステーキ、LN、生,73.42,117,23.07,2.69,1.69,0,0,0
13001,牛肉、枝肉、LN&FAT、チョイック、生,57.26,291,17.32,24.05,0.81,0,0,
13002,牛肉、枝肉、LN&FAT、SEL、生,58.21,278,17.48,22.55,0.82,0,0,
13019,牛肉、RTLカット、脂肪、生,20.21,674,8.21,70.89,0.28,0,0,0
13020,牛肉、RTLカット、脂肪、CKD,18.58,680,10.65,70.33,0.45,0,0,0
13023,ビーフ、ブリスケット、WHL、LN、全粒、生,70.29,155,20.72,7.37,1.02,0,0,0
13047,ビーフ、グラスフェッド、グラウンド、生,67.13,198,19.42,12.73,1.71,0,0,0
13055,"ビーフ、ブリスケット、フラットハーフ、LN & FAT、1/8"" FAT、SEL、CKD、BRSD",53.39,280,28.97,17.37,0.93,0,0,0
13065,"ビーフ、フランク、ステーキ、LN & FAT、0"" FAT、チョイック、生",69.46,165,21.22,8.29,1.02,0,0,0
13066,"ビーフ、フランク、ステーキ、LN & FAT、0"" FAT、CHOIC、CKD、BRSD",54.95,263,26.98,16.44,2.04,0,0,0
13067,"ビーフ、フランク、ステーキ、LN & FAT、0"" FAT、CHOIC、CKD、BRLD",63.33,202,27.55,9.31,1.06,0,0,0
13068,"ビーフ、フランク、ステーキ、LN、0"" FAT、チョイック、生",68.72,149,21.72,6.29,0.99,0,0,0
13069,"ビーフ、フランク、ステーキ、LN、0"" FAT、CHOIC、CKD、BRSD",57.27,237,28.02,13,2.14,0,0,0
13070,"ビーフ、フランク、ステーキ、LN、0"" FAT、CHOIC、CKD、BRLD",64.06,194,27.82,8.32,1.07,0,0,0
13095,"ビーフ、リブ、アイ、SML エンド (リブ 10 ～ 12)、LN&FAT、0""FAT、チョイック、生",58.03,274,17.51,22.07,0.85,0,0,
13096,"BF、リブ、アイ、SML END (リブ 10-12)、LN & FT、0"" FAT、CHOIC、CKD、BRLD",55.87,265,26.58,16.76,1.08,0,0,0
13097,"ビーフ、リブ、アイ、SML エンド (リブ 10 ～ 12)、LN、0"" FAT、チョイック、生",68.7,161,20.13,8.3,1.01,0,0,
13098,"ビーフ、リブ、アイ、SML エンド (リブ 10 ～ 12)、LN、0""FAT、チョイック、CKD、BRLD",61.3,205,28.88,9.01,1.17,0,0,0
13147,ビーフ、カルビ、ショートトリブ、LN&FAT、チョイック、生,48.29,388,14.4,36.23,0.68,0,0,
13148,ビーフ、リブ、ショートトリブ、LN&FAT、チョイック、CKD、BRSD,35.72,471,21.57,41.98,0.74,0,0,0
13149,牛肉、カルビ、ショートトリブ、LN のみ、チョイック、生,69.38,173,19.05,10.19,0.98,0,0,
13150,ビーフ、リブ、ショートリブ、LN、CHOIC、CKD、BRSD,50.15,295,30.76,18.13,0.98,0,0,0
13156,"ビーフ、RND、フルカット、LN、1/4""FAT、CHOIC、CKD、BRLD",60.5,191,29.21,7.31,1.41,0,0,0
13158,"ビーフ、RND、フルカット、LN、1/4""FAT、SEL、CKD、BRLD",62.44,172,29.25,5.22,1.41,0,0,
13165,"ビーフ、ブリスケット、フラットハーフ、LN & FAT、0"" FAT、CHOIC、CKD、BRSD",58.42,221,32.21,9.24,1.09,0,0,0
13166,USDA CMDTY、BF、CND,61.19,246,20.52,17.57,1.07,0,0,0
13227,"ビーフ、シャンククロスカット、LN、1/4""脂肪、チョイック、生",73.03,128,21.75,3.85,1.44,0,0,
13228,"ビーフ、すねクロスカット、LN、1/4""FAT、CHOIC、CKD、SIMMRD",58.21,201,33.68,6.36,2.39,0,0,
13231,"牛肉、ショートロイン、PRTRHS ステーキ、LN、1/8"" FAT、チョイック、生",69.56,161,22.13,7.39,1.01,0,0,0
13232,"牛肉、ショートロイン、PRTRHS ステーキ、LN、1/8"" FAT、チョイック、CKD、グリル",60.31,221,27.65,11.36,1.02,0,0,0
13235,牛肉、ショートロイン、Tボーンステーキ、骨付き、LN、1/8インチファット、チョイック、生,69.97,160,22.1,7.27,1,0,0,0
13236,"ビーフ、ショート LN、T-BONE STK、BN-IN、LN、1/8"" FAT、チョイック、CKD、グリル",60.6,217,27.48,11.05,1.02,0,0,0
13284,"ビーフ、リブアイ、SML END (リブ 10 ～ 12)、LN、0"" FAT、SEL、RAW",71.33,149,21.17,6.57,0.93,0,0,0
13285,"ビーフ、チャック、UND BL ポット RST、BNLESS、LN、0"" FAT、ALL GRDS、CKD",58.22,216,30.54,10.46,1.39,0,0,0
13293,"ビーフ、CHK、UND BL ポット RST、BNLESS、LN、0"" FAT、ALL GRDS、CKD、BRSD",71.41,140,21.13,6.07,1.08,0.31,0,0
13294,"牛肉、CHCK、UND BL POT RST または STEAK、BNLESS、LN、0"" FAT、チョイック、生",70.82,145,21.19,6.51,1.08,0.39,0,0
13317,ビーフ、グラウンド、パティ、FRZ、CKD、BRLD,53.91,295,23.05,21.83,0.9,0,0,0
13318,ビーフ、VAR MEATS&副産物、ブレイン、生,76.29,143,10.86,10.3,1.51,1.05,0,0
13319,ビーフ、VAR MEATS&副産物、ブレイン、CKD、パンフライ,70.75,196,12.57,15.83,1.58,0,0,
13320,牛肉、VAR MEATS&副産物、BRAIN、CKD、SIMMRD,74.86,151,11.67,10.53,1.46,1.48,0,0
13321,ビーフ、VAR MEATS&副産物、心臓、生,77.11,112,17.72,3.94,1.1,0.14,0,0
13322,ビーフ、VAR MEATS&副産物、心臓、CKD、SIMMRD,65.67,165,28.48,4.73,0.97,0.15,0,0
13323,牛肉、VAR MEATS&副産物、腎臓、生,77.89,99,17.4,3.09,1.33,0.29,0,0
13324,牛肉、VAR MEATS&副産物、腎臓、CKD、SIMMRD,66.88,158,27.27,4.65,1.31,0,0,0
13325,牛肉、VAR MEATS&副産物、レバー、生,70.81,135,20.36,3.63,1.31,3.89,0,0
13326,牛肉、VAR肉および副産物、レバー、CKD、BRSD,58.81,191,29.08,5.26,1.74,5.13,0,0
13327,ビーフ、VAR 肉と副産物、レバー、CKD、パンフライ,62.01,175,26.52,4.68,1.63,5.16,0,0
13328,牛肉、VAR MEATS&副産物、肺、生,79.38,92,16.2,2.5,0.98,0,0,
13329,牛肉、VAR MEATS&副産物、肺、CKD、BRSD,76.4,120,20.4,3.7,1.1,0,0,
13330,牛肉、VAR 肉と副産物、機械的に分離された BF、生,59.39,276,14.97,23.52,2.14,0,0,
13331,牛肉、VAR MEATS&副産物、膵臓、生,65.2,235,15.7,18.6,1.3,0,0,
13332,牛肉、VAR MEATS&副産物、膵臓、CKD、BRSD,55.6,271,27.1,17.2,1.5,0,0,
13333,牛肉、VAR MEATS&副産物、脾臓、生,77.2,105,18.3,3,1.38,0,0,
13334,牛肉、VAR MEATS&副産物、脾臓、CKD、BRSD,69.98,145,25.1,4.2,1.6,0,0,
13335,牛肉、VAR肉および副産物、スエット、生,4,854,1.5,94,0.1,0,0,0
13337,牛肉、VAR MEATS&副産物、胸腺、生,67.8,236,12.18,20.35,1.38,0,0,
13338,牛肉、VAR MEATS&副産物、胸腺、CKD、BRSD,52.83,319,21.85,24.98,1.53,0,0,
13339,牛肉、VAR MEATS&副産物、タン、生,64.53,224,14.9,16.09,0.8,3.68,0,
13340,牛肉、VAR MEATS&副産物、タン、CKD、シムレッド,57.87,284,19.29,22.3,0.69,0,0,0
13341,牛肉、VAR MEATS&副産物、トライプ、生,84.16,85,12.07,3.69,0.55,0,0,0
13342,ビーフ、SNDWCH ステーキ、フレーク、チョップド、フォーミング & 薄切り、生,56,309,16.5,27,0.8,0,0,0
13343,"ビーフ、ブリスケット、フラットハーフ、LN、0"" FAT、CHOIC、CKD、BRSD",59.18,212,32.62,8.07,1.1,0,0,0
13344,牛肉、塩漬け、BRKFST ストリップ、生または未加熱,45.2,406,12.5,38.8,2.8,0.7,0,
13345,牛肉、硬化、BRKFSTストリップ、CKD,26.2,449,31.3,34.4,6.7,1.4,0,0
13346,ビーフ、塩漬け、コンビーフ、ブリスケット、生,66.56,198,14.68,14.9,3.73,0.14,0,
13347,ビーフ、塩漬け、コンビーフ、ブリスケット、CKD,59.79,251,18.17,18.98,2.6,0.47,0,0
13348,ビーフ、キュレッド、コンビーフ、CND,57.72,250,27.1,14.93,2.9,0,0,0
13349,"ビーフ、CHK、UND ブレード ポット RST または STK、BNLESS、LN、0"" FAT、SEL、RAW",72.3,134,21.03,5.41,1.07,0.19,0,0
13350,牛肉、塩漬け、乾燥,53.8,153,31.1,1.94,10.4,2.76,0,2.7
13351,"ビーフ、チャック、アンダー ブレード CNTR ステーキ、BNLESS、デンバー カット、LN、0"" FA",59.72,220,26.5,12.64,1,0.14,0,0
13352,"ビーフ、チャック、アンダー ブレード CNTR ステーキ、BNLESS、デンバー カット、LN、0"" FA",58.83,228,26.49,13.42,0.99,0.28,0,0
13353,牛肉、塩漬け、ランチョンミート、ゼリー,74.6,111,19,3.3,3.4,0,0,
13354,"ビーフ、CHK、UND BL CNTR STK、BNLESS、DEN CUT、LN、0"" FA、SEL、CKD",61.06,209,26.53,11.46,1.02,0,0,0
13355,ビーフ、塩漬け、パストラミ,69.53,147,21.8,5.82,3.4,0.36,0,0.1
13356,"BEEF,CHK,UNDBL CNTR STK,BNLESS,DENCUT,LN,0"" FA, ALL GRD, RAW",69.19,170,19.42,9.99,0.91,0.49,0,0
13357,牛肉、塩漬け、ソーセージ、CKD、スモーク,53.56,312,14.11,26.91,3,2.42,0,
13358,ビーフ、キュア、スモーク、チョップド BF,68.93,133,20.19,4.42,4.6,1.86,0,
13359,"ビーフ、CHK、UND BLCNTR STK、BNLESS、DEN CUT、LN、0"" FA、チョイス、生",68.24,178,19.23,10.96,0.91,0.67,0,0
13361,"ビーフ、RTL カットのコンプ、LN&FAT、0""FAT、ALL GRDS、CKD",58.61,230,28.4,12.42,1.12,0,0,0
13362,"ビーフ、RTL カットのコンプ、LN&FAT、0"" FAT、CHOIC、CKD",58.7,233,28.17,12.53,1.12,0,0,0
13363,"牛肉、RTL カットのコンプ、LN&FAT、0""FAT、SEL、CKD",61.79,203,28.61,9.18,1.16,0,0,0
13364,"ビーフ、RTL カットのコンプ、LN、0"" FAT、すべての GRDS、CKD",61.02,203,29.9,8.37,1.16,0,0,0
13365,"牛肉、RTL カットのコンプ、LN、0"" FAT、CHOIC、CKD",60.93,206,29.51,8.87,1.16,0,0,0
13366,"牛肉、RTL カットのコンプ、LN、0"" FAT、SEL、CKD",62.48,188,29.88,7.12,1.18,0,0,0
13367,"ビーフ、ブリスケット、WHL、LN&FAT、0""FAT、ALL GRDS、CKD、BRSD",51.54,291,26.79,19.52,0.95,0,0,0
13368,"ビーフ、ブリスケット、WHL、LN、0""FAT、全 GRDS、CKD、BRSD",57.71,218,29.75,10.08,1.04,0,0,0
13369,"ビーフ、ブリスケット、フラットハーフ、LN&FAT、0""FAT、ALL GRDS、CKD、BRSD",58.9,213,32.9,8.01,1.03,0,0,0
13370,ビーフ、ブリスケット、フラットハーフ、LN、0インチファット、オール GRDS、CKD、BRSD,59.55,205,33.26,6.99,1.04,0,0,0
13371,"ビーフ、ブリスケット、ポイントハーフ、LN&FAT、0""FAT、ALL GRDS、CKD、BRSD",46.05,358,23.53,28.5,0.84,0,0,0
13372,ビーフ、ブリスケット、ポイントハーフ、LN、0インチファット、オール GRDS、CKD、BRSD,55.7,244,28.05,13.8,0.98,0,0,0
13373,"ビーフ、チャック、アームポット RST、LN&FAT、0""FAT、ALL GRDS、CKD、BRSD",51.9,297,28.94,19.17,0.9,0,0,0
13375,"ビーフ、チャック、アームポット RST、LN & FAT、0"" FAT、SEL、CKD、BRSD",53.44,283,29.23,17.56,0.91,0,0,0
13377,"ビーフ、チャック、アームポット RST、LN、0"" FAT、CHOIC、CKD、BRSD",58.83,212,33.36,7.67,1,0,0,0
13378,"ビーフ、チャック、アームポット RST、LN、0""FAT、SEL、CKD、BRSD",61.2,195,33.37,5.8,1.01,0,0,0
13379,"ビーフ、チャック、ブレード RST、LN&FAT、0""FAT、ALL GRDS、CKD、BRSD",47.92,334,27.18,24.14,0.89,0,0,0
13380,"ビーフ、CHCK、UNDR BLDE POT RST、BNLS、LN & FAT、0""、CHC、CKD、BRSD",51.93,306,26.39,21.48,1.14,0,0,0
13381,"ビーフ、CHCK、UNDR BLDE POT RST、BNLS、LN & FAT、0""、SEL、CKD、BRSD",53.39,288,27.17,19.02,1.33,0,0,0
13382,"ビーフ、チャック、ブレード RST、LN、0""FAT、ALL GRDS、CKD、BRSD",54.8,253,31.06,13.3,0.99,0,0,0
13383,"ビーフ、CHK、アンダーブレードポット RST、BNLESS、LN、0"" FAT、CHOIC、CKD、BRSD",57.85,231,30.45,11.14,1.27,0,0,0
13384,"ビーフ、チャック、アンダーブレードポット RST、BNLESS、LN、0"" FAT、SEL、CKD、BRSD",58.79,216,30.68,9.44,1.58,0,0,0
13386,"ビーフ、リブ、LRG エンド (リブ 6-9)、LN&FAT、0""FAT、CHOIC、CKD、RSTD",46.1,372,22.8,30.49,0.9,0,0,
13387,"ビーフ、リブ、LRG エンド (リブ 6-9)、LN&FAT、0""FAT、SEL、CKD、RSTD",49.53,331,23.48,25.54,0.93,0,0,
13388,"ビーフ、リブ、LRG エンド (リブ 6 ～ 9)、LN、0""FAT、すべての GRDS、CKD、RSTD",57.9,238,27.53,13.4,1.08,0,0,0
13389,"ビーフ、リブ、LRGエンド（リブ6-9）、LN、0""FAT、CHOIC、CKD、RSTD",56.8,253,27.53,15,1.08,0,0,
13390,"ビーフ、リブ、LRG エンド (リブ 6 ～ 9)、LN、0""FAT、SEL、CKD、RSTD",59.3,220,27.53,11.4,1.08,0,0,
13391,"ビーフ、リブ、SML END (RIBS 10-12)、LN&FAT、0""FAT、ALL GRDS、CKD、BRLD",57.52,249,27.27,14.74,1.1,0,0,0
13392,"ビーフ、リブ、SML END (RIBS 10-12)、LN&FAT、0""FAT、CHOIC、CKD、BRLD",51.08,312,24.73,22.84,1.08,0,0,
13393,"ビーフ、リブ、SML END (RIBS 10-12)、LN&FAT、0""FAT、SEL、CKD、BRLD",52.79,285,24.91,19.79,1.09,0,0,
13394,"ビーフ、リブ、SML END (リブ 10 ～ 12)、LN、0""FAT、すべての GRDS、CKD、BRLD",62.59,193,29.41,7.53,1.18,0,0,0
13395,"ビーフ、リブ、SML エンド (リブ 10 ～ 12)、LN、0""FAT、CHOIC、CKD、BRLD",58.7,225,28.04,11.7,1.23,0,0,
13396,"ビーフ、リブ、SML END (リブ 10 ～ 12)、LN、0""FAT、SEL、CKD、BRLD",60.3,198,28.04,8.7,1.23,0,0,
13398,"ビーフ、RND、BTTM RND、ステーキ、LN & FAT、0"" FAT、ALL GRDS、CKD、BRSD",57.33,223,33.56,8.86,1,0,0,0
13399,"牛肉、RND、BTTM RND、RST、LN & FAT、0"" FAT、すべての GRDS、CKD、RSTD",64.46,187,27.42,7.72,1.09,0,0,0
13401,"ビーフ、RND、BTTM RND、ステーキ、LN & FAT、0"" FAT、CHOIC、CKD、BRSD",56.74,230,32.73,10,1.01,0,0,0
13402,"ビーフ、RND、BTTM RND、RST、LN & FAT、0"" FAT、CHOIC、CKD、RSTD",63.54,199,26.76,9.37,1.06,0,0,0
13404,"ビーフ、RND、BTTM RND、ステーキ、LN & FAT、0"" FAT、SEL、CKD、BRSD",57.92,217,34.39,7.72,0.99,0,0,0
13405,"ビーフ、RND、BTTM RND、RST、LN & FAT、0"" FAT、SEL、CKD、RSTD",65.37,175,28.08,6.06,1.12,0,0,0
13407,"ビーフ、RND、BTTM RND、ステーキ、LN、0"" FAT、すべての GRDS、CKD、BRSD",58.09,214,34,7.67,1.01,0,0,0
13408,"ビーフ、RND、BTTM RND、RST、LN、0"" FAT、すべての GRDS、CKD、RSTD",65.37,177,27.76,6.48,1.1,0,0,0
13410,"ビーフ、RND、BTTM RND、ステーキ、LN、0"" FAT、CHOIC、CKD、BRSD",57.36,223,33.08,9.03,1.02,0,0,0
13411,牛肉、もも肉、ロースト、赤身のみ、脂肪 0 インチ、特選、ロースト,64.83,185,27.23,7.63,1.07,0,0,0
13413,"ビーフ、RND、BTTM RND、ステーキ、LN、0"" FAT、SEL、CKD、BRSD",58.82,206,34.93,6.3,1.01,0,0,0
13414,"ビーフ、RND、BTTM RND RST、LN、0"" FAT、SEL、CKD、RSTD",65.9,169,28.29,5.33,1.13,0,0,0
13415,"ビーフ、RND、RNDの目 RST、BNLESS、L & F、0"" FAT、A GRDS、CKD、RSTD",65.05,167,29.66,4.46,1.21,0,0,0
13416,"ビーフ、RND、RNDの目 RST、BNLESS、LN & FT、0"" FAT、CHOIC、CKD、RSTD",64.5,171,29.79,4.83,1.19,0,0,0
13417,"ビーフ、RND、RND の目 RST、BNLESS、LN & FAT、0"" FAT、SEL、CKD、RSTD",65.92,162,29.45,3.97,1.21,0,0,0
13418,"ビーフ、RND、RND の目 RST、BNLESS、LN、0"" FAT、すべての GRDS、CKD、RSTD",65.35,163,29.85,3.9,1.27,0,0,0
13419,"ビーフ、RND、RNDの目 RST、BNLESS、LN、0"" FAT、CHOIC、CKD、RSTD",64.83,166,29.94,4.26,1.21,0,0,0
13420,"ビーフ、RND、RNDの目 RST、BNLESS、LN、0"" FAT、SEL、CKD、RSTD",66.2,157,29.52,3.43,1.19,0,0,0
13421,"ビーフ、RND、チップ RND、RST、LN & FAT、0"" FAT、すべての GRDS、CKD、RSTD",64.67,188,26.79,8.21,1.11,0,0,0
13422,"ビーフ、RND、チップ RND、RST、LN & FAT、0"" FAT、CHOIC、CKD、RSTD",63.8,196,27.01,8.9,1.1,0,0,0
13423,"ビーフ、RND、チップ RND、RST、LN & FAT、0"" FAT、SEL、CKD、RSTD",65.54,181,26.57,7.53,1.12,0,0,0
13424,"BEEF,RND,TIP RND,RST,LN,0"" FAT,ALL GRDS,CKD,RSTD",66.75,174,27.53,6.2,0.81,0,0,0
13425,"ビーフ、RND、チップ RND、RST、LN、0"" FAT、CHOIC、CKD、RSTD",65.62,176,27.68,6.42,1.12,0,0,0
13426,"ビーフ、RND、チップ RND、RST、LN、0"" FAT、SEL、CKD、RSTD",67.88,149,27.37,4.38,1.16,0,0,0
13428,"ビーフ、RND、トップ RND、LN&FAT、0""FAT、ALL GRDS、CKD、BRSD",57.9,209,35.62,6.31,1.72,0,0,0
13430,"ビーフ、RND、トップRND、LN&FAT、0""FAT、CHOIC、CKD、BRSD",57.31,216,35.62,7.09,1.72,0,0,0
13432,"ビーフ、RND、トップRND、LN&FAT、0""FAT、SEL、CKD、BRSD",58.49,200,35.62,5.33,1.72,0,0,0
13436,"ビーフ、RND、トップ RND、LN、0"" FAT、CHOIC、CKD、BRSD",58.1,207,36.12,5.8,1.75,0,0,0
13438,"ビーフ、RND、トップ RND、LN、0""FAT、SEL、CKD、BRSD",59.3,190,36.12,4,1.75,0,0,0
13439,"ビーフ、ロース、トンドルン ステーキ、BNLESS、L & F、0"" F、A GRDS、CKD、グリル",60.38,211,30.5,8.91,1.37,0,0,0
13440,"ビーフ、ロース、テンダーロイン STK、BNLESS、L & F、0"" F、CHOIC、CKD、グリルド",59.78,217,30.21,9.71,1.38,0,0,0
13441,"ビーフ、ロース、テンダーロイン STK、BNLESS、L & F、0"" FAT、SEL、CKD、グリル",61.29,202,30.93,7.7,1.36,0,0,0
13442,ビーフ、ロース、テンダーロイン STK、BNLESS、L、0 インチ F、オール GRDS、CKD、グリル,60.76,198,30.7,8.32,1.38,0,0,0
13443,"ビーフ、ロース、テンダーロイン ステーキ、BNLESS、LN、0"" FAT、CHOIC、CKD、グリルド",60.21,211,30.45,9.03,1.39,0,0,0
13444,"ビーフ、ロース、テンダーロイン ステーキ、BNLESS、LN、0"" FAT、SEL、CKD、グリル",61.58,198,31.09,7.25,1.37,0,0,0
13445,"ビーフ、ロース、トップロースTK、BNLS、リップオフ、LN FT、0"" FT、ALLGRD、CKD、GRLD",59.98,223,28.57,11.15,1.12,0,0,0
13446,"ビーフ、ロース、トップロースTK、BNLS、リップオフ、LN FT、0"" FT、CHC、CKD、GRLD",58.83,233,28.19,12.51,1.11,0,0,0
13447,"ビーフ、ロース、トップロース、BNLS、LIP OFF、LN FAT、0"" FT、SEL、CKD、GRLD",61.71,207,29.16,9.12,1.14,0,0,0
13448,"ビーフ、ロース、トップロースTK、BNLS、リップオフ、LN、0"" FT、ALL GRD、CKD、GRLD",61.74,202,29.53,8.41,1.15,0,0,0
13449,"ビーフ、ロース、上ロース STK、BNLS、LIP OFF、LN、0"" FAT、CHOIC、CKD、GRLD",60.74,211,29.22,9.52,1.14,0,0,0
13450,"牛肉、ロース、上ロース STK、BNLS、LIP OFF、LN、0"" FAT、SEL、CKD、GRLD",63.25,189,29.99,6.74,1.17,0,0,0
13451,"牛肉、トップサーロイン、ステーキ、LN & FAT、0"" FAT、すべての GRDS、CKD、BRLD",60.33,212,29.33,9.67,1.26,0,0,0
13452,"ビーフ、トップサーロイン、ステーキ、LN & FAT、0"" FAT、CHOIC、CKD、BRLD",59.68,219,29.02,10.54,1.22,0,0,0
13453,"ビーフ、トップサーロイン、ステーキ、LN & FAT、0"" FAT、SEL、CKD、BRLD",60.97,206,29.65,8.8,1.3,0,0,0
13454,"牛肉、トップサーロイン、ステーキ、LN、0"" FAT、全粒度、CKD、BRLD",62.98,183,30.55,5.79,1.31,0,0,0
13455,"牛肉、トップサーロイン、ステーキ、LN、0"" FAT、CHOIC、CKD、BRLD",62.38,188,30.29,6.55,1.27,0,0,0
13456,"牛肉、サーロイン、ステーキ、LN、0"" FAT、SEL、CKD、BRLD",63.58,177,30.8,5.03,1.35,0,0,0
13459,"ビーフ、SHRT ロース、PRTRHS STK、LN & FAT、0"" FAT、ALL GRDS、CKD、BRLD",54.66,276,23.96,19.27,1.17,0,0,0
13460,"ビーフ、ロース、PRTRHS STK、LN & FAT、0"" FAT、USDA CHOIC、CKD、BRLD",53.95,283,23.61,20.15,1.08,0,0,0
13463,"牛肉、SHRT ロース、PRTRHS STK、LN & FAT、0"" FAT、USDA SEL、CKD、BRLD",55.69,267,24.47,17.98,1.29,0,0,0
13464,牛肉、ショート ロース、PRTRHS ステーキ、LN、1/8 インチの脂肪、すべての GRDS、生,70.32,155,22.32,6.6,1.02,0,0,0
13465,"牛肉、ショートロイン、PRTRHS ステーキ、LN、1/8"" FAT、全 GRDS、CKD、グリル",61.05,213,28.16,10.32,1.05,0,0,0
